price_date,ticker,sector,close_price,volume
2022-01-03,AAPL,Technology,182.0,14654362
2022-01-04,AAPL,Technology,183.7042,29106309
2022-01-05,AAPL,Technology,183.3591,31916085
2022-01-06,AAPL,Technology,185.5695,31274153
2022-01-07,AAPL,Technology,190.7287,38520405
2022-01-10,AAPL,Technology,190.0487,34898529
2022-01-11,AAPL,Technology,189.3713,30040541
2022-01-12,AAPL,Technology,194.8291,24308097
2022-01-13,AAPL,Technology,197.5947,12864755
2022-01-14,AAPL,Technology,196.0747,29687411
2022-01-17,AAPL,Technology,198.0708,27165584
2022-01-18,AAPL,Technology,196.5682,27868788
2022-01-19,AAPL,Technology,195.069,15001893
2022-01-20,AAPL,Technology,196.0128,16223376
2022-01-21,AAPL,Technology,189.6142,38097054
2022-01-24,AAPL,Technology,184.0349,24607561
2022-01-25,AAPL,Technology,182.3206,32834378
2022-01-26,AAPL,Technology,179.1925,25284793
2022-01-27,AAPL,Technology,180.2892,25299339
2022-01-28,AAPL,Technology,177.5238,36386191
2022-01-31,AAPL,Technology,173.253,20337326
2022-02-01,AAPL,Technology,177.8896,25979925
2022-02-02,AAPL,Technology,177.2816,20779474
2022-02-03,AAPL,Technology,177.5921,21011656
2022-02-04,AAPL,Technology,173.2816,22091810
2022-02-07,AAPL,Technology,171.7216,27323013
2022-02-08,AAPL,Technology,172.1541,20643002
2022-02-09,AAPL,Technology,168.7886,41313043
2022-02-10,AAPL,Technology,170.0058,17479572
2022-02-11,AAPL,Technology,168.3082,23199417
2022-02-14,AAPL,Technology,167.5381,20967705
2022-02-15,AAPL,Technology,165.862,44597017
2022-02-16,AAPL,Technology,171.4662,27044880
2022-02-17,AAPL,Technology,171.5212,37773720
2022-02-18,AAPL,Technology,168.445,13799766
2022-02-21,AAPL,Technology,171.0022,27818351
2022-02-22,AAPL,Technology,167.4528,35684918
2022-02-23,AAPL,Technology,168.1647,25836530
2022-02-24,AAPL,Technology,162.5422,38285375
2022-02-25,AAPL,Technology,158.8673,20327211
2022-02-28,AAPL,Technology,159.509,43930761
2022-03-01,AAPL,Technology,161.6905,62704616
2022-03-02,AAPL,Technology,162.2707,21622628
2022-03-03,AAPL,Technology,162.0305,20919355
2022-03-04,AAPL,Technology,161.2623,44711449
2022-03-07,AAPL,Technology,157.199,47026190
2022-03-08,AAPL,Technology,155.3024,20281959
2022-03-09,AAPL,Technology,154.1318,21132266
2022-03-10,AAPL,Technology,157.1204,22335156
2022-03-11,AAPL,Technology,158.164,14601081
2022-03-14,AAPL,Technology,153.4069,17312262
2022-03-15,AAPL,Technology,154.3726,16730267
2022-03-16,AAPL,Technology,153.4133,18389076
2022-03-17,AAPL,Technology,151.6772,24655546
2022-03-18,AAPL,Technology,153.4082,27455368
2022-03-21,AAPL,Technology,156.3107,46482505
2022-03-22,AAPL,Technology,158.9883,16769037
2022-03-23,AAPL,Technology,156.7398,37062466
2022-03-24,AAPL,Technology,155.9744,22949135
2022-03-25,AAPL,Technology,156.9761,24510224
2022-03-28,AAPL,Technology,159.7898,32746746
2022-03-29,AAPL,Technology,158.5336,15955235
2022-03-30,AAPL,Technology,158.1036,29132072
2022-03-31,AAPL,Technology,155.1349,26721185
2022-04-01,AAPL,Technology,151.9809,30443007
2022-04-04,AAPL,Technology,154.2609,28065562
2022-04-05,AAPL,Technology,158.0839,66752775
